Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Deinodryinus_atriventris_EX475,16.399489,100,86,87
Skiapus_coalescens_BS_UCE_Ich463,16.384736,100,98,99
Nematus_tibialis_HPG2,16.37736,100,100,100
Amitus_sp_USNMENT01223842,16.357691,100,100,100
Paridris_minator_USNMENT01322139,16.352773,100,100,100
Coeloides_scolytivorus_USNMENT01322554,16.308517,100,85,100
Tamaulipeca_nsp_BS_UCE_Ich185,16.288847,100,99,82
Ormyrus_sp1_USNMENT01322082,16.251967,100,100,78
Austrozele_sp1_USNMENT01322441,16.242132,100,100,100
Pelecinus_sp_EX451,16.195417,100,100,100
Szepligetella_DERV047_PSUC_FEM188503,16.146243,100,100,100
Gavrana_sp_BS_UCE_Ich203,16.129032,100,100,100
Apocharips_trapezoidea_USNMENT01322156,16.109363,100,100,100
Atomacera_decepta_USNMENT01339630,16.099528,79,100,100
Alysia_sp1_USNMENT01322532,16.097069,47,25,100
Tetrapus_sp1_JRAS06126_0189,16.070024,100,91,90
Propsilomma_columbianum_USNMENT01322336,16.055271,100,100,100
Theronia_sp_BS_UCE_Ich435,15.969217,100,98,96
Epimicta_griffithsi_USNMENT01322426,15.939713,100,100,100
Neoxorides_caryae_BS_UCE_Ich376,15.88808,100,98,96
Pachynematus_corniger_USNMENT01322228,15.841365,100,100,100
Thoreauella_sp1_USNMENT01339615,15.819237,80,76,49
Tetracampe_sp_JRAS07821_0101,15.814319,99,77,98
Gronotoma_sp_USNMENT00877589,15.752852,98,97,100
Waldheimia_carbonaria_USNMENT01322216,15.745476,100,100,100
Ascogaster_provancheri_USNMENT01322454,15.740559,100,100,99
Aridelus_sp1_USNMENT01322471,15.664339,100,100,100
Eusterinx_oligomera_BS_UCE_Ich348,15.583202,100,100,99
Bracon_sp1_USNMENT01322232,15.580744,48,100,85
Peristenus_sp1_USNMENT01322569,15.541404,100,100,100
Alophophion_sp_BS_UCE_Ich327,15.5119,100,100,100
Oberthuerella_lenticularis_USNMENT01322285,15.494689,100,100,98
Digonogastra_eurygaster_USNMENT01322500,15.47502,50,50,100
Bootanomyia_stigmatizans_GDEL03057_0101,15.41847,100,97,90
Glyptapanteles_sp1_USNMENT01322478,15.3988,100,100,100
Andrena_asteris_HPG17,15.376672,100,100,100
Alloplasta_superba_BS_UCE_Ich312,15.366837,100,100,100
Hymenochaonia_sp2_USNMENT01322244,15.359461,100,100,100
Centrodora_sp1_USNMENT01231207,15.2857,100,100,98
Vipio_sp1_USNMENT01322501,15.224233,50,100,48
Netelia_sp_BS_UCE_Ich199,15.214398,100,100,99
Ichneutes_sp1_USNMENT01322581,15.19227,100,100,100
Xanthesma_furcifera_BND710,15.187352,100,100,100
