Species,TotalMiss
Lagynodes_crassicornis_PSUC_FEM13564 ,23.4154339
Leiophron_incerta_USNMENT01322473 ,44.5775507
Leluthia_mexicana_USNMENT01322436 ,16.0157084
Leptacis_sp_USNMENT01223928 ,29.0292817
Lithurgus_pullatus_BND1030 ,54.5699253
Loboscelidia_sp_EX554 ,57.5636724
Masner_lubomirus_PSUC_FEM13496 ,52.5354583
Macropis_europaea_BND980 ,55.7366174
Macrotera_echinocacti_BND1092 ,53.1264298
Manuelia_gayatina_BND1255 ,55.5627574
Megaspilus_armatus_PSUC_FEM13531 ,47.6742413
Meteorus_sp6_USNMENT01322447 ,25.9630929
Megischus_sp_USNMENT01322262 ,26.3077627
Meganomia_binghami_BND1026 ,59.6126277
Megichile_exilis_EX393 ,54.7376849
Melitta_arrogans_BND943 ,56.4755223
Methoca_sp_EX570 ,62.1778252
Miota_sp_USNMENT01322341 ,35.9806314
Microbembex_cubana_EX445 ,79.6240659
Mischocyttarus_mexicanus_EX398 ,54.2199176
Mutilla_sp_EX563 ,50.3195059
Myrmosa_sp_EX575 ,55.8296477
Myzinum_sp_EX576 ,46.8590819
Nasonia_vitripennis_USNMENT01322105 ,58.5961568
Neuroterus_distortus_USNMENT01322326 ,57.5362208
Nematus_tibialis_HPG2 ,59.2778710
Neopasiphae_mirabilis_BND1312 ,56.0637487
Oberthuerella_lenticularis_USNMENT01322285 ,27.2365411
Odontocolon_albotibale_BS_UCE_Ich200 ,7.2647552
Odontomutilla_sp_EX556 ,52.2273906
Olixon_sp_BS_UCE_Rhop1 ,35.9874943
Oxybelus_analis_EX443 ,63.1676071
Paraulax_quelensis_USNMENT01322268 ,25.6535001
Paramesius_sp_USNMENT01322286 ,53.2392863
Pantoclis_sp_USNMENT01322340 ,47.7039805
Paradecatoma_sp_USNMENT01322415 ,47.0611560
Pachodynerus_alayoi_EX400 ,52.0985207
Pachymelus_peringueyi_BND986 ,53.0867775
Parancistrocerus_bacu_EX401 ,55.1128565
Pararhophites_orobinus_BND1424 ,53.5534543
Periclistus_sp1_USNMENT01322291 ,10.5383560
Pelecinus_sp_EX451 ,58.6327589
Pepsis_grossa_EX437 ,59.7361598
Philanthus_gibbosus_BND827 ,54.3213360
Pioscelus_borealis_USNMENT01322491 ,23.5870063
Piestopleura_sp_USNMENT01223801 ,39.6484673
Pison_chilense_BND1250 ,51.3687662
Plagiotrochus_suburi_USNMENT01322345 ,43.6914748
Plebeina_hildebrandti_BND992 ,57.7047430
Plenoculus_cockerelli_BND809 ,55.6740888
Plumarius_sp_EX550 ,56.6997102
Pluto_argentifrons_EX448 ,54.4036907
Pogonomyrmex_occidentalis_EX377 ,46.7172487
Polistes_poeyi_EX399 ,56.2299832
Pompilidae_sp_EX407 ,56.0561232
Propsilomma_columbianum_USNMENT01322336 ,20.9402166
Proterops_sp_proteroptoides_USNMENT01322444 ,19.3106604
Proctotrupes_sp1_USNMENT01322351 ,82.9540949
Praon_sp1_USNMENT01322430 ,17.3417722
Prionyx_thomae_EX404 ,62.3326216
Pristocerus_sp1_EX552 ,57.2418789
Proscolia_sp_EX568 ,51.5738905
Protoxaea_gloriosa_BND217 ,58.0448376
Pseudomasaris_vespoides_EX442 ,55.0625286
Pulverro_boharti_BND1663 ,47.6940674
Rhytidoponera_chalybaea_T000 ,11.0683239
Rhaconotus_fasciatus_USNMENT01322492 ,22.4004880
Rhoophilus_loewi_USNMENT01322293 ,16.3725789
Rhygoplitis_sp1_USNMENT01322480 ,49.0658838
Rhopalomutilla_sp_EX564 ,54.2694830
Rhopalosoma_nearcticum_EX457 ,54.4646942
Sapyga_pumila_HPG8 ,47.6574653
Sceliphron_caementarium_EX439 ,61.3176758
Sclerogibbidae_sp_EX566 ,77.7131310
Scolia_verticalis_HPG11 ,51.7080982
Scoliinae_sp_EX577 ,46.4046058
Scrapter_heterodoxus_BND904 ,53.5793808
Sericomyrmex_harekuli_HPG9 ,55.2707031
Sigalphus_sp1_USNMENT01322498 ,23.0120482
Sierolomorpha_sp_EX471 ,49.9664481
Smicromyrmilla_sp_EX567 ,55.3606832
Sphaeropthalma_orestes_EX436 ,54.3167607
Sphecius_hogardii_EX447 ,66.1239896
Sphecodes_persimilis_BND559 ,56.5441513
Sphex_jamaicensis_EX405 ,54.2214427
Stantonia_sp30_USNMENT01322481 ,19.0788470
Stenamma_megamanni_EX368 ,47.4797926
Stigmatomma_oregonense_EX435 ,52.2106146
Synophrus_pilulae_USNMENT00961203 ,14.6103401
Synergus_sp_USNMENT01322283 ,9.7285344
Synophromorpha_sylvestris_USNMENT01322282 ,11.3024249
Tachysphex_alayoi_EX402 ,58.6319963
Tetramesa_romana_USNMENT01322405 ,31.1781302
Thrinchostoma_perineti_BND1247 ,59.0704591
Thyninnae_sp_EX565 ,52.7466829
Thyreus_delumbatus_BND988 ,48.7318896
Tiphia_sp_EX571 ,56.5944792
Triraphis_discoideus_USNMENT01322496 ,20.0488028
Triaspis_sp1_USNMENT01322475 ,20.7663566
Symphya_n_sp2_USNMENT01322254 ,16.1422907
Pompilidae_sp_USNMENT01339591 ,20.5154796
Trassedia_n_sp_PSUC_FEM95969 ,58.3879823
Trachusa_larreae_BND1144 ,53.1798078
Trissolcus_sp_USNMENT01223831 ,22.3425347
Trogaspidia_sp_EX574 ,50.8700625
Trypoxylon_sp_EX403 ,53.3460424
Vanhornia_eucnemidarum_EX498 ,29.7521732
Vespa_sp_EX578 ,51.5799908
Wroughtonia_sp1_USNMENT01322502 ,30.2569773
Xanthesma_furcifera_BND710 ,57.5827360
Xiphosomella_sp_BS_UCE_Ich409 ,48.8119567
Xyela_sp_EX453 ,63.5976819
Xylocopa_virginica_BND1158 ,53.6929998
Yelicones_delicatus_USNMENT01322497 ,19.8932439
Zapatella_davisae_USNMENT01322330 ,64.1795028
Zygota_sp_USNMENT01322354 ,60.7579686
Chromeurytoma_sp_ANIC00037_189 ,62.8122617
Perilampella_sp_ANIC00063_189 ,72.7954857
Ablerus_sp1_USNMENT01231208 ,56.4442580
Absyrtus_sp_BS_UCE_Ich386 ,34.0498704
Acanthocaudus_bicolor_USNMENT01322505 ,36.6592954
Acrolyta_sp_BS_UCE_Ich122 ,42.3257587
Acrotaphus_wiltii_BS_UCE_Ich319 ,14.7003203
Adialytus_sp1_USNMENT01322467 ,59.0018301
Adelognathus_sp_BS_UCE_Ich181 ,76.3931676
Agonocryptus_brevicauda_BS_UCE_Ich581 ,33.5854812
Agonocryptus_physocnemis_BS_UCE_Ich001 ,27.6513650
Agriotypus_armatus_BS_UCE_Ich182 ,75.4056733
Allophyris_n_sp_BS_UCE_Ich339 ,73.5641299
Alloplasta_superba_BS_UCE_Ich312 ,17.0184536
Alomya_debellator_BS_UCE_Ich201 ,8.6350465
Alophophion_sp_BS_UCE_Ich327 ,19.7636114
Ammophila_cybele_EX406 ,56.6981851
Andrena_nigroaenea_BND531 ,52.9129175
Anomalon_sp_BS_UCE_Ich336B ,46.8689950
Aperileptus_sp_BS_UCE_Ich495 ,24.0559707
Aphanogmus_fumipennis_PSUC_FEM17533 ,26.9223730
Aranedra_sp2_USNMENT01322392 ,76.7927406
Arotes_meleus_BS_UCE_Ich301 ,16.4114687
Aspilota_sp2_USNMENT01322446 ,26.1232271
Astrenis_sp_BS_UCE_Ich443 ,46.2795486
Atanycolus_sp_hicoriae_USNMENT01322499 ,24.7750496
Ateleute_sp_BS_UCE_Ich183 ,30.9463169
Atopotrophus_bucephalus_BS_UCE_Ich434 ,35.2302882
Atractodes_sp_BS_UCE_Ich154 ,11.5578771
Ausystole_sp_USNMENT01322399 ,48.9293884
Auplopus_sp_EX549 ,75.6779015
Aximopsis_sp3_USNMENT01322404 ,60.0198261
Isosomodes_parkeri_USNMENT01322054 ,43.2919018
Systasis_sp_USNMENT01322057 ,75.5330181
Pseudometagea_sp_USNMENT01322060 ,42.2906817
Systole_sp_prob_albipennis_USNMENT01322069 ,62.7787098
Cosmocomoidea_morrilli_USNMENT01322077 ,57.3547354
Polynema_near_needhami_USNMENT01322078 ,71.9681257
Tanaostigmodes_albiclavus_USNMENT01322080 ,84.5561995
Tanaostigma_stanleyi_USNMENT01322081 ,89.7178588
Palmon_sp_USNMENT01322085 ,45.8441360
Physothorax_pallidus_USNMENT01322087 ,37.9197804
Torymoides_sulcius_USNMENT01322088 ,38.7379899
Megastigmus_transvaalensis_USNMENT01322090 ,25.9882568
Pteromalus_puparum_USNMENT01322091 ,54.5500991
Theocolax_elegans_USNMENT01322095 ,56.0309593
Macroglenes_penetrans_USNMENT01322098 ,42.7992985
Eutrichosoma_mirabile_USNMENT01322104 ,54.6919323
Torymus_sp_USNMENT01322178 ,18.0257740
Elasmus_albizziae_USNMENT01322182 ,67.1038585
Pnigalio_minio_USNMENT01322183 ,62.8740278
Entedon_leucogramma_USNMENT01322185 ,73.2080220
Aprostocetus_prob_gala_USNMENT01322186 ,44.5630624
Chalcis_barbara_USNMENT01322189 ,18.2629251
